Purchase Date,ProductID,CustomerCode,Order ID,Units Sold,Revenue,Cost of Goods Sold
29/07/2020,1,RSimpson,0-8326-2332-6,779,6777,3194
13/06/2022,6,DWendyFoley,0-9545331-2-7,391,3109,7183
3/03/2021,3,MCurtis,1-4124-0125-9,434,6022,881
9/09/2020,2,WJones,0-633-99721-8,945,2082,2786
3/03/2020,2,JOdonnell,0-513-00959-0,513,3740,2642
21/04/2023,5,LJones,0-8113-5464-4,133,2066,4850
1/12/2021,5,AAnderson,0-7040-6207-0,129,5840,2713
30/08/2022,9,DPerez,1-224-13191-6,154,7924,4720
17/08/2022,10,MChavez,0-7650-5690-9,984,6774,7826
28/01/2021,6,JLopez,1-75651-593-X,493,6791,2222
1/06/2020,8,BGomez,0-345-16320-6,769,7295,1079
15/01/2023,3,DRivera,0-632-54010-9,971,9822,3277
2/08/2021,4,LMooney,0-268-69991-7,789,1813,4560
16/02/2021,4,MBennett,0-8225-0758-7,784,6037,6886
7/02/2020,3,DNelson,1-75607-032-6,614,5497,7446
26/02/2022,2,JFerguson,1-56451-337-8,702,9307,7952
10/04/2021,10,CWilliams,1-81899-705-3,322,6088,1428
21/03/2022,10,CHardy,1-5038-5158-3,386,8954,4345
4/09/2020,10,WCoffey,1-367-47292-X,129,7545,5125
26/04/2021,10,RReed,0-488-25714-X,438,4131,6023
22/12/2020,9,EMathews,1-894802-36-5,979,5417,3853
23/05/2020,10,JKnight,1-07-701534-8,120,2007,1552
14/12/2021,3,ACarroll,1-85278-672-8,299,2200,6299
20/10/2020,2,EWilliams,0-338-34938-3,922,7431,5346
28/10/2020,1,SWalters,0-489-16995-3,179,8551,2461
31/12/2021,4,KRay,0-300-54469-3,710,6769,7179
15/03/2021,1,JLarson,1-360-47620-2,842,9480,3203
25/10/2022,7,ESwanson,0-352-12120-3,310,7897,5676
30/06/2023,10,SEvans,1-80512-020-4,931,9699,1424
14/04/2023,1,SYoung,0-576-53586-9,346,4833,7053
28/03/2020,1,CHerring,0-414-02183-5,557,5692,4048
26/02/2023,9,THoward,1-358-79860-5,635,3434,866
13/05/2020,8,TNavarro,0-87772-341-9,983,8032,3096
12/09/2021,5,JRussell,1-4614-4802-6,110,1684,6840
10/10/2022,3,CRamirez,1-75801-942-5,159,4639,4404
22/01/2022,1,CMcknight,0-522-74876-7,709,1217,4119
26/07/2023,9,MHarris,0-266-35887-X,635,9605,6466
1/02/2020,7,KPerez,0-906539-04-8,467,2074,2387
12/01/2023,6,CMcdonald,1-68198-221-8,144,7832,1824
23/05/2023,3,BFernandez,1-55537-727-0,431,6626,7793
19/01/2023,2,RBryan,0-644-01892-5,210,2315,2465
26/01/2021,2,ROlson,0-290-23134-5,115,5751,1381
13/07/2021,3,LJones,1-241-20051-3,581,2419,3880
4/02/2022,3,RJohnson,1-01-539518-X,949,1936,4353
22/02/2020,1,JBarron,0-669-27687-1,141,2985,1008
5/02/2022,7,SHarris,0-345-44007-2,753,1570,6854
27/09/2020,5,JAbbott,1-4947-0573-7,351,7249,4564
17/05/2022,5,WJackson,1-187-75711-X,835,1491,4183
21/02/2021,10,DJuarez,1-9796-5962-1,992,9502,4972
14/08/2022,3,JDavis,1-04-963374-1,620,6656,3189
23/12/2020,4,APearson,0-287-21848-1,557,8066,2813
28/09/2022,8,JSkinner,1-07-764240-7,566,5231,5697
7/06/2023,1,RElliott,0-639-13715-6,804,6891,7284
2/02/2020,4,RDonaldson,1-82308-117-7,851,7613,6839
11/08/2021,3,DBond,0-8037-6739-0,502,6365,7156
25/06/2020,6,BWhite,0-944901-55-7,996,9984,7620
22/01/2020,10,DThompson,1-06-394958-0,496,2144,4347
3/04/2021,9,JBrown,1-86769-029-2,994,8872,5988
27/07/2023,2,BJones,1-994128-76-3,599,5241,4132
26/10/2022,2,MLee,1-871365-96-1,598,2281,2588
1/05/2022,4,LBenton,0-10-971620-5,281,7574,7548
17/12/2021,10,JPowell,1-5185-4963-2,709,6204,6003
24/12/2020,3,JRussell,0-11-582033-7,557,7417,5036
28/11/2020,3,HRichardson,1-290-84904-8,501,4268,3897
9/04/2023,2,SBrown,0-458-84667-8,527,4549,7880
13/03/2020,7,CPage,1-184-14086-3,321,9934,7401
31/10/2020,8,JRodriguez,0-316-36992-6,904,8285,1955
1/10/2020,7,RCooke,0-14-833604-3,296,3259,5923
16/11/2022,9,HHaley,1-65747-674-X,954,3608,6682
5/09/2020,2,AMunoz,1-84840-130-2,540,6840,995
2/07/2021,2,MWilkinson,0-299-73694-6,131,9527,5983
11/05/2022,9,NLambert,1-60525-244-1,741,4533,5915
29/10/2020,2,SThompson,1-367-66669-4,626,3550,2691
12/07/2022,8,JRamirez,1-70113-798-4,321,7085,4818
27/02/2020,3,SDavis,0-466-34618-2,856,4471,1241
27/04/2021,3,BRyan,0-655-63347-2,501,1973,1687
16/04/2021,9,AEspinoza,1-07-587646-X,915,6238,1619
5/08/2020,4,CDuncan,0-15-125927-5,734,7236,6861
28/03/2023,10,AWilliams,1-4155-9985-8,186,6420,2452
14/06/2020,6,MGregoryKim,0-7512-6358-3,716,2364,3492
8/01/2022,6,JMartinez,1-112-33150-6,546,2071,1576
11/01/2020,7,TMontgomery,0-12-451261-5,114,1433,2354
11/10/2022,9,MMendez,0-88976-570-7,373,2948,7273
28/05/2023,5,EBentley,1-318-70643-2,188,5960,2500
14/04/2020,8,ETownsend,0-7162-2661-8,269,2706,5442
27/07/2020,7,BAnderson,1-226-73625-4,519,9973,844
24/07/2021,9,JMason,0-06-914139-8,944,4394,7174
28/05/2021,7,JPerez,1-9801-6480-0,203,2564,6083
3/07/2023,8,JMartinez,0-264-99291-1,158,3640,5631
27/03/2020,4,TMathews,0-7328-3472-4,171,8154,6636
10/03/2023,10,ACochran,1-316-52007-2,435,1270,5793
13/06/2021,9,WJohnson,1-06-909589-3,316,6739,4069
20/11/2022,3,BHart,1-149-53073-1,515,9991,6734
30/01/2023,7,MGriffin,1-4311-1111-2,643,7726,3798
26/04/2022,6,JRojas,0-564-13164-4,441,1414,514
28/07/2020,10,AGonzalez,0-682-74659-2,232,8894,4678
12/06/2020,1,DBush,0-275-69252-3,167,1766,7329
23/02/2021,7,MRosales,1-353-30030-7,736,1314,4338
28/05/2023,2,SJones,1-82235-781-0,912,3488,3957
17/03/2023,2,JStokes,0-05-045403-X,181,9413,1997
10/04/2022,10,CReyes,1-08-016094-9,827,6779,1217
20/09/2022,4,JAdams,1-901287-31-9,553,7718,3421
10/01/2022,2,DMelton,1-5233-9478-1,545,1967,6554
12/09/2021,8,JAdams,1-63769-184-X,135,1642,4619
11/01/2022,10,SPerez,0-684-41426-0,891,9282,6383
10/05/2023,4,PPham,0-585-28452-0,184,4326,3221
8/03/2021,10,CKeller,0-7812-5438-8,329,7934,3945
23/02/2022,1,JColeman,1-86939-947-1,529,8446,3180
17/02/2021,3,MPreston,1-80397-673-X,723,8932,1084
22/04/2021,10,JYoder,1-272-58535-2,349,6439,816
25/08/2021,8,MWendyGardner,1-60880-577-8,254,8574,4024
16/05/2023,10,MJenkins,0-360-57090-9,427,9753,5676
11/06/2022,2,VTurner,0-85887-564-0,683,1568,560
26/01/2021,7,MByrd,1-7350251-5-1,913,9507,1078
30/07/2020,7,JCunningham,0-371-14069-2,866,7044,3415
17/03/2022,4,AGeorge,1-67872-738-5,156,7270,7615
11/01/2022,4,MWashington,0-507-24994-1,391,5381,7758
16/09/2020,1,TScott,1-63359-880-2,194,9293,6230
16/06/2022,8,MPerry,1-9870-3120-2,760,8378,6257
7/03/2023,6,DSalazar,0-389-04927-1,782,8136,1098
28/05/2021,9,MWolf,1-5013-2152-8,889,2546,6273
22/08/2020,1,MTrujillo,1-345-90838-5,172,7821,2591
4/02/2022,1,ZMorton,1-186-48147-1,126,4420,614
30/01/2022,1,DEricJimenez,0-265-05143-6,517,1685,1400
28/11/2022,8,SStewart,0-7020-2728-6,183,5849,1349
31/07/2020,1,TMckee,0-8165-1136-5,833,2665,5465
10/02/2022,2,ZDicksonJr.,1-67440-760-2,939,7184,972
13/02/2021,5,NMillerMD,0-585-90452-9,347,9742,7466
9/09/2021,6,DThompson,1-177-88144-6,928,8893,851
4/01/2020,9,DJohnson,1-4298-2224-4,636,8510,1504
16/04/2023,10,TColeman,0-18-233701-4,259,6997,5274
11/05/2020,1,SMonroe,1-396-66494-7,944,6308,6450
30/01/2023,6,TRodriguez,1-69661-506-2,630,5378,2045
27/03/2020,5,ASimon,1-223-58538-7,179,4058,4842
25/11/2020,10,AGoodman,0-227-43443-9,941,6236,6203
24/10/2021,10,VMccormick,1-876576-47-2,118,1459,6660
25/04/2020,9,KCox,0-03-312031-5,991,7185,5520
3/09/2021,9,VMartin,1-235-08766-2,170,2075,5014
10/02/2022,9,DWard,1-75548-710-X,373,9736,6211
2/07/2023,7,DZimmerman,1-291-34431-4,628,4911,7418
12/06/2023,4,FJones,0-7784-3406-0,824,1086,5119
4/01/2021,3,JCisneros,0-425-38534-5,382,3128,4648
20/10/2021,5,CCastillo,0-339-81776-3,296,3551,2607
12/07/2023,6,THernandez,0-248-41144-6,561,4787,3546
23/08/2021,4,WJackson,0-8046-2195-0,727,3006,1018
27/09/2022,2,LGlenn,0-272-30044-6,415,6506,4388
6/01/2022,1,BJackson,1-08-988339-0,743,7845,5987
23/12/2021,4,JWhitaker,1-317-47592-5,404,3700,2326
18/05/2022,7,MGreen,0-85862-943-7,896,5211,2833
4/08/2021,2,VBarry,0-421-45589-6,941,4770,2618
5/10/2020,8,AAnderson,1-217-79123-X,152,4934,3527
17/09/2020,2,JArnold,1-77604-581-5,909,5479,1858
7/09/2020,10,EWolf,0-333-13749-3,255,6902,7610
16/03/2021,9,CWard,1-01-947990-6,231,2494,7494
21/04/2022,7,KWilliamson,1-79404-233-4,830,4057,2975
30/09/2022,4,ACardenas,1-181-22404-7,512,3750,1388
17/06/2021,6,NAustin,1-61734-702-7,519,8114,1608
5/03/2020,4,JSawyer,1-81403-406-4,434,4544,3555
26/07/2022,6,HRoberts,0-7002-7456-1,942,9350,1382
15/10/2020,3,JThompson,1-5058-0558-9,590,7767,4381
3/12/2020,10,JStone,0-9616311-9-8,110,2426,6427
22/03/2020,8,DDarrenBarr,0-10-777579-4,688,9876,5014
22/12/2021,7,EJefferson,1-183-63539-7,466,8891,2459
8/09/2021,2,AHudson,0-485-12147-6,784,2135,4394
9/07/2023,2,SThompson,1-76029-495-0,484,8311,3113
22/07/2021,2,WJoseph,0-493-29223-3,901,3819,7130
23/08/2020,10,AKramer,1-5336-4057-2,160,7770,2679
31/08/2020,7,JWilliams,1-4196-1290-5,339,1478,3100
8/12/2020,6,NFleming,0-410-19574-X,834,4723,4383
23/03/2021,6,JMoore,1-76107-883-6,431,7666,5486
4/04/2021,1,JButler,1-86597-876-0,346,6352,7807
5/07/2020,7,CFarrell,1-968751-98-X,415,1362,3952
10/12/2021,6,RSalas,1-74325-520-9,231,4556,1359
3/10/2020,7,GSmith,1-172-53848-4,697,2881,1180
31/08/2021,6,KBrooks,0-208-09832-1,599,8244,6518
14/09/2020,6,DRodriguez,1-55109-407-X,577,4690,5384
14/09/2020,3,JKing,0-271-65701-4,545,6277,3201
27/06/2023,2,THicksDVM,0-7870-9724-1,512,8928,2231
7/01/2023,8,EKim,0-414-08904-9,918,1001,1218
7/02/2022,9,MAlexander,0-8465-5848-3,137,6623,1380
24/01/2023,3,RWeaver,1-5199-0999-3,555,2445,1656
9/12/2021,5,CWilliams,1-347-13064-0,183,9760,4866
28/04/2021,9,YWilliams,0-7257-1739-4,350,6617,5100
2/06/2022,8,BHale,1-63124-884-7,224,5549,703
9/02/2021,9,DShea,0-490-29707-2,588,7391,3781
2/07/2020,3,JHart,1-02-601789-0,878,5173,7575
2/06/2020,9,TFreeman,1-953767-60-5,285,3051,5727
31/03/2021,9,WBurton,1-899790-64-0,577,6399,6474
23/08/2020,9,KHorn,0-662-34240-2,581,6310,6526
3/06/2020,9,RTodd,1-03-288037-6,245,1198,6691
28/03/2022,1,EParker,1-7385839-1-0,673,9006,6925
4/01/2021,10,TMitchell,1-4739-4475-9,766,5249,6587
29/06/2023,3,TWiggins,0-8128-0797-9,209,6976,7508
18/02/2022,3,JPerez,1-03-348514-4,615,8113,6851
15/07/2023,3,COrtiz,1-992643-19-9,796,3995,4105
29/01/2020,2,ELeach,0-623-65380-X,804,5288,4816
4/06/2021,5,KJohnson,1-68689-583-6,174,8991,5168
12/03/2020,9,MJohnson,1-933794-01-1,324,5100,6260
26/03/2020,2,KWest,1-01-257474-1,373,5633,6440
11/12/2022,4,JChandler,1-04-555559-2,642,4220,1869
21/09/2022,2,MRamirez,1-55388-872-3,799,2423,6603
7/09/2021,6,CBarajas,0-694-50369-X,923,3603,1725
6/02/2022,4,DSanchez,0-223-47234-4,147,1739,3240
23/03/2022,6,KSchmidt,0-598-22671-0,737,4355,4854
29/12/2020,7,JPeters,0-436-02395-4,335,1916,7378
10/06/2022,6,JCarrillo,1-4096-6142-3,591,3613,5535
11/09/2021,3,MAllen,0-336-60400-9,567,1970,1149
20/01/2020,4,BCain,1-84500-864-2,854,7641,3370
28/12/2022,6,KDominguez,1-01-135309-1,236,9143,516
17/01/2022,8,AMullins,1-118-22855-3,284,3923,4282
23/07/2022,8,SCampbell,0-8063-9221-5,509,4501,5284
2/02/2023,3,CWilliams,0-386-00677-6,855,8339,3540
2/08/2020,3,LValdez,0-327-61024-7,369,5555,7770
22/07/2023,7,KLopez,1-387-74940-4,434,1955,1011
1/12/2022,5,SKim,0-658-70806-6,456,7574,564
26/06/2022,4,DHarper,1-989143-21-0,334,6265,7339
5/09/2022,3,CLuna,1-902331-68-0,359,3675,2650
31/03/2023,10,MCarr,0-935474-04-8,167,1627,3602
16/01/2021,9,TWagner,1-4576-9821-8,325,1098,5657
17/05/2020,4,BLopez,0-13-217481-2,934,2437,769
7/11/2020,8,SDavis,0-87909-310-2,531,3456,5679
26/08/2022,5,SSanford,0-406-39790-2,213,6896,3473
6/02/2022,3,THarvey,1-4187-8119-3,124,5904,2654
12/03/2020,8,RPerkins,0-11-801092-1,282,7462,6228
31/05/2023,4,RRivera,0-313-97016-5,195,4791,4292
15/01/2023,7,JGiles,0-209-00595-5,821,2609,2816
6/01/2022,5,JAllen,0-336-32504-5,732,1987,6946
10/08/2022,2,CMcgee,0-210-51742-5,574,1310,1287
24/05/2020,2,MLong,0-87355-397-7,771,3902,7670
17/08/2020,10,DLee,1-4226-4781-1,697,8287,985
16/01/2023,7,NBraun,0-692-31361-3,796,5936,1191
30/01/2022,2,BJames,0-16-773737-6,962,1854,3394
9/07/2021,6,MWood,1-321-17539-6,984,3494,4032
6/06/2022,8,ALane,0-678-81213-6,373,5076,3597
10/01/2021,4,TMckinney,0-555-70974-4,596,2555,1898
19/06/2022,10,SYoung,0-9792487-4-4,721,9220,769
12/07/2021,2,HHernandezMD,0-640-11891-7,406,4348,1978
10/11/2021,5,HCooper,0-89879-713-6,344,6011,3676
19/12/2022,10,GShields,0-417-47166-1,295,2579,718
23/12/2020,7,HDavis,1-72562-748-5,796,6019,6520
3/02/2020,10,JJordan,1-371-17159-9,417,2834,2517
19/11/2022,7,MDavis,1-134-97374-8,395,2165,4397
23/08/2022,5,KRogers,0-8216-0863-0,334,2056,892
18/02/2020,10,RHoward,1-922639-50-8,321,7804,2776
10/04/2021,4,MVaughn,1-879104-62-8,162,3607,2751
17/05/2020,3,MThomas,1-59822-291-0,733,6716,3428
23/02/2020,9,AMorrison,0-273-75793-8,526,5874,2717
12/09/2020,6,MPhillips,0-599-76625-5,948,6582,1917
6/10/2021,10,ISmith,0-378-23731-4,371,5976,2890
23/05/2021,6,JFarmer,0-396-23657-X,141,5715,2989
1/11/2021,6,MFerguson,1-932341-01-3,426,2489,1271
19/06/2021,4,KSanchez,0-911899-28-6,163,7688,2124
28/04/2022,5,MWheeler,1-871581-58-3,934,6022,2334
30/07/2021,5,TNelson,0-7637-4413-1,495,4340,1039
15/11/2022,2,ECox,0-13-703823-2,648,9631,2631
18/12/2022,4,KLane,0-600-92922-1,147,1944,5721
24/06/2020,4,AMorgan,1-00-693495-2,297,5953,5749
4/03/2022,5,CFrazier,1-5317-1217-7,194,2678,1906
12/06/2021,3,JSmith,1-4357-1204-8,478,2598,7930
12/05/2020,7,BHowe,0-639-24642-7,289,8836,2991
8/09/2021,5,JBrown,1-9733-1665-X,366,1276,1498
1/08/2021,6,KBarker,0-9873759-8-9,796,1937,6875
8/07/2020,1,SBaker,0-215-88235-0,263,7658,3617
9/08/2020,5,MGarcia,0-9870475-5-8,221,8102,851
31/12/2020,4,WMiddleton,0-8423-3992-2,384,1504,4330
29/09/2020,8,CMunoz,0-522-42473-2,650,8433,4353
1/04/2023,6,RAdkins,0-7366-6540-4,800,8301,2961
18/05/2022,8,MChandler,0-227-77772-7,467,3775,2538
7/05/2020,10,BSullivan,1-72856-281-3,130,2440,674
17/01/2021,5,PHarding,1-78695-363-3,216,3224,7376
17/09/2022,8,TRogers,0-05-948353-9,154,7016,4862
22/11/2022,8,AJohnson,0-347-97146-6,856,1067,7451
23/11/2021,4,CBoyer,1-78718-121-9,189,9251,877
28/01/2022,1,AWatts,1-4789-0286-8,443,2792,4608
29/08/2022,6,LFlowers,0-475-96483-7,682,5800,3302
12/12/2021,7,BRose,1-59256-049-0,682,3237,2269
8/06/2021,3,VCarson,1-281-94424-6,265,4644,1177
26/04/2023,7,WDavis,1-9797-3183-7,166,7463,541
6/04/2022,3,TStrickland,0-18-628593-0,806,6495,4561
4/03/2022,4,JHoward,0-8162-2212-6,360,7394,4509
11/01/2020,9,DHill,0-514-72101-4,470,8081,687
14/04/2022,3,MGarcia,0-07-232332-9,847,1855,5976
28/11/2020,5,PStout,0-906253-53-5,408,2032,3117
28/10/2020,8,ABean,1-7360367-7-7,974,6420,7175
30/08/2021,3,MJillVargas,1-237-93406-0,743,3003,4878
11/07/2021,2,RWhite,1-9826-7359-1,540,3390,6665
5/09/2022,9,RHudson,0-350-70456-2,376,8557,4365
29/09/2021,2,LSmith,1-02-711576-4,786,9349,3938
30/10/2021,2,LRoy,1-289-00909-0,907,7252,5897
19/08/2020,10,CHopkins,1-328-20922-9,671,8533,3667
7/03/2020,7,MPope,1-214-61663-1,848,2712,652
9/09/2021,10,DAnderson,1-09-707688-1,261,7376,5982
11/05/2023,1,BAyala,0-221-67325-3,233,6192,1220
25/07/2022,7,EHardy,0-618-02248-1,446,7834,5152
7/07/2023,9,DDawnMendoza,0-9702844-1-1,484,1078,2761
20/06/2023,9,DCantrell,0-7961-6161-5,208,7167,6518
27/03/2022,7,ASmith,1-320-97040-0,262,4536,1973
5/10/2022,4,CNovak,0-912413-49-2,990,8064,1076
11/08/2020,3,KWilcox,0-626-51314-6,663,8496,3793
23/10/2020,8,JWilliams,1-85386-075-1,782,5432,1189
20/06/2022,3,ARogers,0-490-22748-1,999,6379,6299
8/04/2022,2,JGuerrero,1-01-583578-3,194,8205,4503
29/03/2021,7,DWhite,1-5011-1680-0,170,7749,1532
13/01/2021,5,MAlvarez,1-01-450742-1,881,1400,7055
4/07/2022,1,WParsons,1-4202-0917-5,741,2961,2708
16/03/2022,3,JSchmidt,1-202-80015-7,304,1321,611
10/05/2020,4,LHuff,0-03-624345-0,463,4982,7049
20/10/2022,1,BLin,0-933251-50-5,381,9348,3791
25/06/2022,7,NLe,1-71006-978-3,911,4678,4116
3/05/2021,3,KGarcia,1-917592-72-8,967,1457,3018
5/02/2021,9,JShort,0-9648585-5-X,187,2015,531
23/05/2020,4,MJohnson,0-633-48737-6,344,4439,7073
20/02/2021,5,SBoyd,0-03-741700-2,240,5573,3189
30/09/2021,8,TTurner,0-00-612209-4,763,9441,1845
12/11/2022,2,CHayes,1-80541-470-4,271,2889,7678
12/01/2023,3,KSmith,1-101-92102-1,802,1699,7871
19/03/2023,3,TSanders,1-80009-227-X,561,7778,4679
4/09/2021,2,ADavis,1-348-48696-1,147,1306,5203
3/03/2021,4,CWilliams,1-60251-568-9,145,4988,3722
25/12/2022,9,JEdwards,0-668-94253-3,669,4560,4827
4/06/2023,3,CPerkins,0-06-986349-0,746,1657,7570
25/02/2023,10,DMercer,1-5479-6346-8,942,6963,2793
12/02/2021,9,AMartinez,1-69169-626-9,886,4112,4648
5/09/2021,4,BGriffin,1-5226-5714-2,874,5561,4964
6/08/2020,9,MHolland,0-490-83291-1,207,4832,7781
30/08/2020,10,KWilson,1-282-03560-6,319,6642,1387
12/11/2021,4,JMorris,1-921323-35-3,923,3021,7368
10/06/2021,4,CMurillo,1-915740-41-X,978,7662,3350
11/07/2020,8,DNelson,0-7706-8544-7,101,2610,3461
11/05/2021,9,ALopez,0-7642-5910-5,498,4626,4643
14/07/2023,5,RJensenMD,1-56706-450-7,480,6581,5952
14/03/2020,1,KJohnson,0-15-663159-8,540,1697,1144
12/04/2021,8,RMartinez,1-243-18722-0,580,3723,4464
27/02/2021,1,CCurry,0-507-47436-8,735,6818,1300
16/06/2020,2,ADavidson,1-924693-25-9,918,6537,1316
19/07/2022,5,WSchmidt,1-163-39439-4,954,4784,6650
24/05/2023,7,DHartman,0-03-196358-7,445,5255,7897
15/06/2020,1,TCurtis,0-622-64108-5,197,4554,5361
19/06/2022,7,CFreeman,1-5322-3467-8,373,7141,3937
2/09/2020,8,WBarnes,0-925565-37-7,744,7374,4156
5/02/2022,1,DBaker,1-4093-4452-5,538,1548,2947
24/02/2020,8,ADaniels,1-918610-29-0,143,3839,4078
7/05/2023,7,BMontgomery,0-13-770874-2,196,7649,2579
19/07/2022,10,LJimenez,0-533-97195-0,406,6493,2094
15/11/2020,6,SJuarez,1-85053-603-1,226,1545,1115
25/01/2022,7,JTaylor,0-7416-5541-1,876,5903,1376
12/01/2023,9,MSchultz,1-5173-7989-X,825,2761,1317
26/01/2023,4,RRasmussen,1-78769-292-2,799,6837,4684
30/03/2023,1,CSmith,1-4313-9641-9,101,8179,6199
22/07/2022,5,DHall,0-602-56825-0,389,7829,1236
13/03/2022,6,DJennings,0-501-22121-2,461,5628,6663
22/01/2020,8,BSoto,1-116-93861-8,925,9378,5933
17/12/2021,10,AClark,1-84732-814-8,645,7977,2716
29/10/2020,2,JDavies,1-130-72001-2,230,9623,2452
17/05/2023,7,CWilliams,1-886268-30-4,584,7295,727
25/12/2022,10,MKennedy,0-283-32270-5,345,5337,6386
27/06/2023,10,PRichards,1-04-592883-6,222,9702,1941
28/02/2022,10,JJohnson,0-467-47007-3,561,9601,2536
23/11/2022,5,CSharp,0-546-67597-2,481,9556,7914
31/05/2020,2,CPonce,1-206-36648-6,215,6007,1594
21/09/2022,9,BStephens,1-9815-4795-9,802,4615,6782
5/06/2020,4,SDodsonPhD,0-00-930020-1,771,6534,5453
1/01/2020,3,ICarter,1-310-92621-2,535,9673,7738
22/03/2022,8,DGill,1-4728-7462-5,272,1341,4552
19/02/2022,7,KRoth,1-74889-834-5,968,1778,4186
3/03/2021,10,JBaker,1-118-49537-3,317,3285,7473
28/09/2021,8,DHuffman,1-162-46134-9,648,5357,7560
10/11/2022,5,KRubio,1-77476-946-8,876,5388,4122
4/12/2021,1,EHarris,1-4283-8242-9,746,3552,766
5/05/2022,2,DHolmes,0-585-25115-0,324,4935,6100
21/07/2021,8,JHunter,0-485-39415-4,522,8121,3105
23/06/2023,4,JJohnston,1-928033-93-8,426,4715,1293
27/08/2020,2,DCarter,0-8189-3912-5,300,3509,5327
17/06/2021,3,SBlake,1-73083-152-4,493,7986,6994
4/04/2021,5,KWilliams,1-384-35731-9,611,2073,5076
28/06/2022,3,FBrown,1-351-35415-9,920,7882,799
21/04/2020,9,JChristian,0-586-01624-4,180,3229,5370
28/11/2022,9,RAnderson,0-00-045304-8,291,9578,3186
27/07/2023,2,STorresDDS,1-367-17955-6,511,8728,4511
2/06/2023,4,ANichols,1-365-92080-1,254,3666,2064
7/03/2022,9,AFisher,0-533-09533-6,312,9942,1524
20/05/2022,10,DBurnett,1-75228-999-4,119,9270,6193
3/09/2020,4,RLamb,1-80786-840-0,511,7603,4128
28/08/2021,9,JNavarro,1-00-866322-0,594,3902,3677
11/10/2021,7,RWatkins,1-953414-40-0,687,9663,1630
6/02/2023,10,WLawrence,1-62737-542-2,229,2602,670
28/10/2021,9,ADiaz,1-4110-6241-8,502,5261,3325
12/03/2022,1,JBarron,1-59275-379-5,566,7699,6508
29/03/2023,10,BHancock,1-78703-308-2,318,8204,3466
1/01/2023,1,CConrad,0-07-525463-8,893,7434,6001
26/05/2021,4,LCollier,0-262-33620-0,913,2883,6013
11/03/2020,8,DKim,0-257-56851-4,448,6572,6740
2/06/2023,9,NFrancis,0-935602-22-4,870,2960,2235
16/01/2023,10,KCharles,1-113-88521-1,990,4887,3783
